INFO 2024-09-05 10:12:45,534 Watching for file changes with StatReloader
INFO 2024-09-05 10:18:17,169 "GET /static/library/js/library.js HTTP/1.1" 200 530
INFO 2024-09-05 10:18:17,169 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:18:17,408 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:18:17,439 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:18:21,641 "GET /accounts/signup/ HTTP/1.1" 200 14423
WARNING 2024-09-05 10:18:21,764 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:18:21,764 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:18:23,646 "GET /accounts/login/ HTTP/1.1" 200 12913
WARNING 2024-09-05 10:18:23,751 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:18:23,751 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:18:42,518 "GET /accounts/login/ HTTP/1.1" 200 12926
INFO 2024-09-05 10:18:42,604 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:18:42,606 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:18:42,612 "GET /static/js/quantity.js HTTP/1.1" 200 3055
WARNING 2024-09-05 10:18:42,614 Not Found: /accounts/static/images/mailchimp.webp
INFO 2024-09-05 10:18:42,614 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:18:42,614 "GET /static/images/logo.png HTTP/1.1" 200 58043
WARNING 2024-09-05 10:18:42,615 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:18:42,615 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:18:42,817 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:18:42,958 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:18:45,210 "GET /library/ HTTP/1.1" 200 34814
INFO 2024-09-05 10:20:01,700 "GET /library/ HTTP/1.1" 200 34830
INFO 2024-09-05 10:20:01,789 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:20:01,792 "GET /static/library/css/library.css HTTP/1.1" 200 1412
INFO 2024-09-05 10:20:01,792 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:20:01,795 "GET /static/images/1984_cover.jpg HTTP/1.1" 200 47735
INFO 2024-09-05 10:20:01,814 "GET /static/images/mailchimp.webp HTTP/1.1" 200 19650
